Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
363,14.0,0.2699,"test, composite, material, high, effect, concrete, experimental, increase, strength, result",w-20wt%cu composite sheets with full density and good surface quality were successfully fabricated through an infiltration process followed by a hot rolling after a total thickness reduction of 75% the majority of the tungsten (w) particles have been deformed and elongated along the rolling direction the aspect ratio of the w particles in the composite has reached 25 the relative density increases considerably to a maximum value of 998% when the rolling ratio increases the thermal conductivity and microhardness of the w-cu composites increase significantly with the rolling reduction on the contrary the coefficient of thermal expansion (cte) of the composite samples decreases with the rolling ratio specifically after subjected to 75% of thickness reduction we obtained a large w-cu thin sheet this thin sheet demonstrates a low cte of 727×10^-6/k and the highest thermal conductivity of 22491 w/(m-k); both values are close to the respective theoretical ones
364,2.0,0.1016,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",this paper introduces a novel set of component importance measures that are based on the concept of critical flow various research communities have developed techniques for identifying critical components of networks the methods in this paper extend previous work on flow-based centrality measures by incorporating insights from both critical infrastructure protection and urban planning the motivation is to provide municipalities with a means of reasoning about the impact of urban interventions an infrastructure system is represented as a flow network in which demand nodes are assigned both demand values and criticality ratings sensitive elements in the network are those that carry critical flows where a flow is deemed critical to the extent that it satisfies critical demand a method for computing these flows is presented and its utility is demonstrated by comparing the new measures to existing flow centrality measures the paper also shows how the method may be combined with a simple form of reliability analysis
365,2.0,0.2826,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity","the technological lock-in of the transportation and industrial sector can be largely attributed to the limited availability of alternative fuel infrastructures herein a countrywide supply chain analysis of germany spanning until 2050 is applied to investigate promising infrastructure development pathways and associated hydrogen distribution costs for each analyzed hydrogen market analyzed supply chain pathways include seasonal storage to balance fluctuating renewable power generation with necessary purification as well as trailer- and pipeline-based hydrogen delivery the analysis encompasses green hydrogen feedstock in the chemical industry and fuel cell-based mobility applications such as local buses non-electrified regional trains material handling vehicles and trucks as well as passenger cars
our results indicate that the utilization of low-cost long-term storage and improved refueling station utilization have the highest impact during the market introduction phase we find that public transport and captive fleets offer a cost-efficient countrywide renewable hydrogen supply roll-out option furthermore we show that at comparable effective carbon tax resulting from the current energy tax rates in germany hydrogen is cost-competitive in the transportation sector by the year 2025 furthermore we show that sector-specific co2 taxes are required to provide cost-competitive green hydrogen supply in both the transportation and industrial sectors"
366,0.0,0.1257,"network, vehicle, operation, soil, environment, base, capacity, communication, generate, article",dam failure relates to significant risk of human lives property and the environment protection understanding the risk that a dam introduces is significant for making contingency plans after a dam failure an inundation map is a crucial component to understand the impact of flooding that will occur this paper takes péligre dam in haiti as the study area using an innovative approach for producing inundation maps and estimate consequences this research uses gis and remote sensing techniques to merge dem and generate land cover as data preprocessing and subsequently uses the dsswise lite system to develop the flood simulation and generate an inundation map for further estimation of life loss it demonstrates the potential for the production of low-cost accurate inundation maps for dam failed emergencies that can be applied in other developing countries as the result of the simulation with setting of a moderate breach of 100 meters that developed over 1 hour it was estimated that 65 fatalities would occur and 202 buildings would be destroyed based on it
367,19.0,0.1632,"design, engineering, student, project, study, work, find, paper, include, designer",in the spirit of measuring what we care about the un sustainable development goals (sdgs) provide guidelines to measure ``universal and equitable access to safe and affordable drinking water for all'' in this work i show where permanent or semi-permanent autonomous or semi-autonomous technologies (objects not processes) can measure and induce progress toward those goals and where they cannot to do this i apply the institutional analysis and development framework to each of the seven normative definitions from the sdgs as ``action arenas'' for each normative definition i examine if technologies exist or can be created to effect a positive outcome for consumers in that particular action arena using nine evaluative criteria this analysis is applied to the united states as a case study considering its physical systems regulations and governance structures this work combined with efforts to translate the united states' systems and structures can lead to multinational applicability this paper examines how and when a water smart grid can and cannot be used effectively i conclude that the material artifacts of a water smart grid can advance the sdg of safety and affordability however technology alone cannot assign people to jurisdictions limiting its ability to advance goals of universal and equitable access
368,16.0,0.2925,"problem, time, solution, result, base, team, scale, event, solve, term",commercial microwave links (cmls) radio connections widely used in telecommunication networks can provide path-integrated quantitative precipitation estimates (qpes) which could complement traditional precipitation observations this paper assesses the ability of individual cmls to provide relevant qpes for urban rainfall-runoff simulations and specifically investigates the influence of cml characteristics and position on the predicted runoff the analysis is based on a 3-year-long experimental data set from a small (13 km2) urban catchment located in prague czech republic qpes from real world cmls are used as inputs for urban rainfall-runoff predictions and subsequent modelling performance is assessed by comparing simulated runoffs with measured stormwater discharges the results show that model performance is related to both the sensitivity of cml to rainfall and cml position the bias propagated into the runoff predictions is inversely proportional to cml path length the effect of cml position is especially pronounced during heavy rainfalls when qpes from shorter cmls located within or close to catchment boundaries better reproduce runoff dynamics than qpes from longer cmls extending far beyond the catchment boundaries interestingly qpes averaged from all available cmls best reproduce the runoff temporal dynamics adjusting cml qpes to three rain gauges located 2-3 km outside of the catchment substantially reduces the bias in cml qpes unfortunately this compromises the ability of the cml qpes to reproduce runoff dynamics during heavy rainfalls more experimental case studies are necessary to provide specific recommendations on cml preprocessing methods tailored to different water management tasks catchments and cml networks
369,6.0,0.3555,"method, image, datum, base, detection, level, pattern, specific, human, require","abstract:
this paper describes two operators autocorrelation and with transformational ai for an event and sensor streams in reactive object-oriented programming
the use of stream-beans and event-beans with multi-sensor integration with application in robotics is illustrated with use in slam and other semantic transfer functions with cloud integration

keywords: correlation operators transformational ai reactive programming correlation operators ejbs automated persistence rxjava rxjs  

what: 
reactive programming provides for the application of operators through iterators and the observer pattern on streams in a previous paper (bheemaiah 2019) we have extended automated persistence of java beans as ejbs to reactive programming with the addition of event-beans and stream-beans we now extend the iterator methods on these beans with cross-correlation and auto-correlation functions
we illustrate this with slam algorithms with correlation transformational ai we extend the slam algorithms to auditory localization
how:
 we define a transformational ai based system of correlation algorithms for application to stream beans and event beans
we define its functionality in slam and in audio stream based localization of audio sources both with or without echos
why:
simultaneous localization and mapping can be achieved through both visual and auditory mechanisms localization is traditionally implied to mean the localization in absolute or relative coordinates with the creation of mapping and the additional determination of the pose of a camera for sensory input or a similar auditory localization as a pose in the case of lidar or ultrasound or audible range sound localization of sound sources is an extension of correlation-based slam algorithms"
370,1.0,0.3482,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation","abstract:
a formal definition of taskoids with a future market in trading in work credits with carbon credits and the happiness index clock taskoids are defined with a machine genome basis as the quantification of the automation of tasks they stem from the natural programming mathematical programming and automated persistence cloud model of computing with computer-assisted code generation in this paper we formally define a taskoid and use aws infrastructure as a service to define iac rules encrypted in machine genome to customize solutions using aws for tasks using a machine genome to transcript yaml or json representations

keywords: taskoids quantification machine genome cloud computing yaml json

what:
formal definition of taskoids 
the formal definition of machine genome
definition and classification of task compatibility as the formulation of automation
example of an aws cloudwatch and cloudformation based json based taskoid

how:
taskoids are meta-programs that use existing codebases and automated coding to encrypt in machine genome a quantification of automation

why:
similar to soul machines and digital dna of digital human designs we create taskoids with machine genome to easily or automatically configure iac to an application for a class of task computability"
371,1.0,0.3941,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation","abstract
the dog-ears formal system (bheemaiah nd) is extended with mfa ii architecture for the definition of taskoids needing adaptable designs and additive printing we present a formal system to apply the formulation to illustrate singularity#1 as an mfa ii application the concept of singularity and singularity#1 and the mfa ii design philosophy is explained with an abstract photographic art

keywords: dog-ears taskoids singularity singularity#1 robotics conversational ui additive printing





what:
singularity#1 is defined as an algorithmic machine evolution like genetic algorithms in mfa ii architecture with the development of machine learning algorithms for the automated design of hardware and software and additive manufacturing of the hardwaremfa ii is a  multi-functional architecture where side effects are primary too in a defined multi-functionality it is inspired by mfa i architecture of form following function and behaviors from beam robotics while beam is analog or mixed mfa ii is digital

was:
singularity # 1 ist definiert als eine algorithmische maschinenentwicklung wie genetische algorithmen in der mfa ii-architektur mit der entwicklung von algorithmen für maschinelles lernen für das automatisierte design von hardware und software sowie für die additive fertigung der hardware es ähnelt der singularität die sich durch die entwicklung von hardware und software für maschinelles lernen durch ai-algorithmen auszeichnet
mfa ii ist eine multifunktionale architektur bei der nebenwirkungen auch bei einer definierten multifunktionalität im vordergrund stehen sie ist von der mfa i-architektur mit funktionen und verhaltensweisen der beam-robotik inspiriert während beam analog oder gemischt und mfa ii digital ist

how:
we illustrate singularity#1 in non-anthropomorphism in the design of alexa skills and hardware tools for the sentient bot platform with additive manufacturing hardware extensions with the retroswitch are defined with a mathematical formulation and templates with customization for the retroswitches and hardware designs are illustrated
tensorflow is used for a mathematical formulation of mfa ii with generalized tensors

wie:
wir veranschaulichen singularität nr 1 im nicht-anthropomorphismus bei der entwicklung von alexa-fertigkeiten und hardware-tools für die plattform für empfindungsfähige bots mit additiver fertigung hardware-erweiterungen mit dem retroswitch werden mit einer mathematischen formulierung definiert und vorlagen mit anpassungen für die retroswitches und hardware-designs werden veranschaulicht
tensorflow wird für eine mathematische formulierung von mfa ii mit verallgemeinerten tensoren mit eingebetteten unendlichkeiten von kovarianz und kontravarianz und einer konturintegralformulierung verwendet"
372,9.0,0.1412,"system, control, field, sensor, current, application, dynamic, drive, describe, function",the precise control upon each degree of freedom of a robotic arm is a great challenge in implementing industrial work to simplify mechatronics motion control systems design this paper proposes mathematical modeling simulation and control of a given electric motor in terms of input volt vin and output motions the proposed model can be used to select design test and validate both plant's and motion control design to meet desired output performance it presents a basic example of pid control applied to a robotic manipulator arm
373,13.0,0.1404,"work, activity, user, wind, type, cost, include, location, platform, order",the study of humanoid character is of great interest of researchers in the field of robotics and biomechanics the one might want to know the forces and torques required to move a limb from an initial position to the desired destination position inverse dynamics is a helpful method to compute the force and torques for an articulated body limb it enables us to know the joint torques required to rotate a link between two positions our goal in this study was to control a human-like articulated manipulator for a specific task of path tracking for this purpose the human arm was modeled with a three-link planar manipulator activated by hill muscle model applying a proportional controller values of force and torques applied to the joints were calculated by inverse dynamics and then joints and muscle forces trajectories were computed and presented to be more accurate to say the kinematics of the muscle-joint space was formulated by which we defined the relationship between the muscle lengths and the geometry of the links and joints secondary the kinematic of the links was introduced to calculate the position of the end-effector in terms of the geometry then we considered the modeling of hill muscle dynamics and after calculation of joint torques finally we applied them to the dynamics of the three-link manipulator obtained from the inverse dynamics to calculate the joint states find and control the location of manipulator’s end-effector   the results show that the human arm model was successfully controlled to take the designated path of an ellipse precisely
374,0.0,0.1779,"network, vehicle, operation, soil, environment, base, capacity, communication, generate, article",we describe a decentralized routing algorithm with physical time windows for modular conveying systems existing routing algorithms for modular conveyors are already capable of bi-directional conveying while avoiding conflicts such as collisions deadlocks livelocks and starvation effects in addition to avoiding conflicts routing algorithms must also select routes that reduce the travel time no existing algorithm for modular conveyors bases this decision on the expected physical lead time even though physical lead time directly affects the system throughput in this publication we present an algorithm that uses the physical lead time to select routes while avoiding conflicts
375,6.0,0.1914,"method, image, datum, base, detection, level, pattern, specific, human, require","abstract:
quda is an architecture similar to cuda for hpc applications of quantum gpu architectures to be used in conjunction with gpu and mcu based processing there is no quda pipeline similar to a stream processing architecture or an out of order instruction pipeline true ilp is achieved with a quda architecture which is better than quasi-parallelism in a cuda or scalar/vector architecture

keywords: quda architecture hpc quantum cloud qiskit spin waves spintronic hyper-data quantum operating system



what:
quantum unified compute architecture or quda architectures is the use of q and qiskit for a reconfigurable quantum array architecture on spintronic units with a reconfigurable scheduler for a quantum operating system"
376,17.0,0.196,"case, present, technique, device, time, patient, develop, provide, assess, lead",the present paper deals with the anisotropic composite plates experiencing postbuckling the plates have a symmetric lay-up and obey the geometrically non-linear von karman law a point-wise relation between the lamination parameters of the stiffest composite plates in postbuckling is derived and analyzed it is shown that in the considered case not all lamination parameters are independent on each other (one of them is a linearly dependent one) the remaining linearly independent seven components of the lamination parameter vector are some non-linear functions of six parameters describing point-wisely the 2d principal strains and the principal curvatures the analysis leads to a conclusion that the optimization wrt the lamination parameters only is not sufficient for obtaining an optimal plate lay-up
377,6.0,0.273,"method, image, datum, base, detection, level, pattern, specific, human, require","abstract:
mapillary is an open-source code base for the use of gpu based deep learning for semantic segmentation of wild images we propose the creation of an autonomous drone for the automated capture of scientific images of medicinal and edible plants to create geotagged maps of plants on mapillarycom with additional tags on plant sizes species and edible and medicinal value this information is used in the planning of sponsored five or more level afforestation as social and academic forestry for edible and medicinal value the same research is also useful in planning afforestation on mars

keywords: miyawakis mapillary seamless segmentation fpn resnet50 redtail edible and medicinal plants geotag"
378,2.0,0.1428,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",the use of battery-powered electric commuter trains instead of those which are propelled by internal combustion engines on only partially (or non) electrified railway lines can save considerable amounts of energy and can avoid exhaust emissions to a large extent with comparatively low investment costs as path to these goals the railway line the operating and the trains are modeled for a particularly interesting real-life example then for the generated models it is shown how the energy demands of model-compliant (battery) electric commuter trains can be calculated and how their energy storages can be designed the models and the procedure can also be applied for a large number of comparable dimensioning cases when defining further railway lines operating and commuter train models corresponding parameterization as well as the occasionally necessary addition of slope and curvature resistances the calculation of energy demands and the design of energy storages however show that there are a large number of different alternatives for technical specifications as well as decisions relevant to energy efficiency and business management too to determine the most suitable solutions further measures such as the investigation of the effects of intelligent modifications to the underlying models the development and implementation of computer-aided simulations as well as the construction and testing of real (battery) electric commuter trains make sense
379,13.0,0.1265,"work, activity, user, wind, type, cost, include, location, platform, order",this work proposes a periodic bus holding control method where the bus holding times of all running trips are computed simultaneously within each optimization time period; thus increasing the coordination among running buses to avoid bus bunching we consider the adverse effects of the bus holding control on the in-vehicle travel times of on-board passengers and formulate holistic bus holding decisions by modeling the bus holding problem as a discrete nonlinear constrained optimization problem given the computational complexity of the bus holding problem an alternating minimization approach is introduced for computing the optimal holding times at each optimization instance the performance of the periodic control method is evaluated against the performance of event-based control methods using 5-month automated vehicle location and automated passenger count data from bus line 1 in stockholm demonstrating an improvement potential of 5% for the in-vehicle travel times and 11% for the service regularity
380,6.0,0.109,"method, image, datum, base, detection, level, pattern, specific, human, require","abstract:
a paper on the design for the one quantum tablet per child the new e-paper in graphene and organic polymer on pla substrate with a quantum ising glass architecture with spin wave based stt quantum internet for last mile connectivity and a distributed qpu-gpu-mcu architecture for robust scalable fault tolerant computing
keywords: graphene oled mcu-qpu-gpu integration e-paper quantum cloud quantum operating systems e-learning quantum tablet mathematical truth light as new age religion"
381,1.0,0.109,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation","this publication is on the computational
intelligence of chat conversational uis
that spans from nlp rpa dnn’s 
emergent computing to other paradigms
of ai which also include rule based
systems and heuristic definition
languages(hdl) the design of the
botlibre conversational uis is presented
as a case study including future work in
improving the knowledge management
and database use from postgre sql to
nosql and more sophisticated database
clusters
keywords: conversational ui botlibre
nlp deep learning rpa"
382,17.0,0.1299,"case, present, technique, device, time, patient, develop, provide, assess, lead","this paper describes mathematical representations for personality as an emergence in the design
of conversational ui from voice video and image we use soulmachines conversational ui as a case
study for the determination of data structures for personality definition this model differs from
other models in the existence of several aspects of personalities with the possibility of the stability
of one or more atomic aspects of a personality thus naturalness exists for the definition of a
personality"
383,5.0,0.0898,"flow, simulation, parameter, numerical, pressure, rate, method, particle, equation, force",in this project we investigate consonant voicing and devoicing problems and claim that several acoustic parameters are effective
384,19.0,0.2384,"design, engineering, student, project, study, work, find, paper, include, designer","this paper characterizes engineering designers’ abilities to re-design a component for additive manufacturing employing screen capture methods additive manufacturing has garnered significant interest from a wide range of industries academia and government stakeholders due to its potential to reform and disrupt traditional manufacturing processes the technology offers unprecedented design freedom and customization along with its ability to process novel and high
strength alloys in promising lead times to harness the maximum potential of this technology designers are often tasked with creating new products or re-design existing portfolios of traditionally manufactured parts to achieve lightweight designs with better performance to date few studies explore the correspondence between design behaviors and manufacturability of final product within an additive manufacturing context this paper presents empirical data from the design processes of six graduate student engineering designers as they re-design a traditionally designed part for additive manufacturing we compare behaviors through the design task between the study participants with a quantitative measure of the manufacturability and quality of each design results indicate opportunities for further research and best practices in design for additive manufacturing and engineering education practitioners across multiple disciplines"
385,15.0,0.1261,"analysis, structure, load, result, response, set, region, important, element, local",this technical note discusses the theoretical static buckling load of thin-walled plastic cylinders under axial and radial loading while the buckling of thin-walled cylinders is a well-researched topic a variety of new design and manufacturing methods as well as advances in polymer technologies have brought plastic structures into prominence in recent years necessitating a re-examination and exploration of their behavior under buckling loads this work provides a background review of the problem a discussion of the appropriate buckling equations an extensive case study to demonstrate the concepts and a brief review of some previously developed thin-walled structure reinforcement techniques the presented work and results are intended to provide a helpful perspective background review and starting place for future research on the buckling behavior of thin plastic structures
386,12.0,0.1086,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high","lean ai is a data mining algorithm that implements the referendum algorithms for polls and blog
data lakes to implement the lean process in an organization this paper discusses the referendum
algorithms and its application to the automated implementation of lean methodology"
387,5.0,0.2466,"flow, simulation, parameter, numerical, pressure, rate, method, particle, equation, force",the present study is to investigate the behavior of a monoatomic gas enclosed in a cavity with both the top and bottom walls imparting motion to the fluid the problem is studied for single and double-sided lid-driven flow for various wall velocities as well as parallel and anti-parallel wall motions these types of flow have many industrial applications such as drying and melt spinning in contrast to the single-sided flows the vortex patterns obtained in the double-sided flows are different and hence it merits a thorough examination which is studied in this paper using the direct simulation monte carlo (dsmc) method the dsmc method proposed by ga bird is based on the kinetic theory in which the molecular motion is modeled stochastically the computational model has been implemented in openfoam software using the solver named dsmcfoam various flow features have been examined such as eddies and vortices
388,12.0,0.1396,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",obstruct consonant could be detected by  energy  difference  profiles   in  thisproject we investigate algorithm  to  detect  three  types  of  landmarks  [stopclosure]  [stop release]  [fricative closure]  as a result  overall detection ratesfor  stop  closure and release are  713%  and  823% for obstruent landmarks intimit and fricatives yield 832% and 819% respectively
389,9.0,0.1099,"system, control, field, sensor, current, application, dynamic, drive, describe, function",this work presents a compact and low power bandgap voltage reference design using self-biased current mirror circuit this design eliminates the standard complementary-to-absolute-temperature (ctat) bipolar device in the voltage-reference branch reducing the bipolar area by 20 percent instead the design shares the same bipolar device in the main ctat branch for generating the reference voltage an additional benefit of eliminating the voltage-reference branch is the reduction of total power consumption by approximately 30 percent this novel topology reduces power and area of the core bandgap reference circuit without compromising temperature drift performance designed fabricated and functionally tested in a 06 um cmos process the simulation result shows the temperature coefficient of this design is 63 ppm/c for a temperature range of -40c to 125c$ this bandgap reference design occupies a silicon area of 0018 mm^2 and draws an average quiescent current of 2 ua from a supply voltage of 33-5v the simulated flicker voltage noise is 434 uv/sqrt-hz at 10 hz
390,1.0,0.1211,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation","in recent years machine translation make great progress especially in neural machine translation
\cite{wu:2016:arxivluong2015effectivegehring2017convolutionalsutskever2014sequencetu2016modelingbahdanau2014neuralkong2019neural} in \citep{kong2019fast} they use a fast mos to obtain great performance on some machine translation corpora in this project we investigate this method to improve the performance of other machine translation corpora"
391,14.0,0.1691,"test, composite, material, high, effect, concrete, experimental, increase, strength, result","the asphalt is the important component to link the mineral materials of the road the asphalt as a viscoelastic material their mechanical and thermal characteristics insufficient for our region (southern algeria) the traditional asphalt which used in algeria is hard but has his short life for this reason impose algeria and other country in the last year to improve the traditional materials of pavement concrete by adding the polymers that allow to reduce the sensitivity part to temperature and viscous and increases its flexibility and rigidity
in this study we modified the asphalt by 5%  we called standard modified bitumen and 75% noted as the hyper modified bitumen in this modification we used an sbs and follow the influence of polymer on asphalt viscosity their mechanical and rheological characters changes using dma test also other tests carried out showed that adding of 75% by sbs increase the rigidity elasticity and reduce thermal susceptibility in addition can predict the behavior of asphalt on the road"
392,17.0,0.2099,"case, present, technique, device, time, patient, develop, provide, assess, lead","vascular disease is one of the leading causes of morbidity and mortality in developed countries and thereby necessitates the replacement of diseased artery or vein through surgical intervention tissue engineering offers an alternative approach of designing biomaterials for small diameter artery regeneration

vascular graft infections occur infrequently with an incidence that varies by surgical site but in general ranges from 05% to 6% infections of vascular grafts are associated with significant mortality and morbidity risk vascularization is also a major problem in tissue engineering especially for engineering tissues that are thicker than approximately 200 μm insufficient vascularization limits the oxygen and nutrient transfer to cells which can lead to hypoxia and formation of non-uniform tissue structures vasculature-like structures are usually multilayer and hollow they have a complex shape with varying diameters throughout the body thus it is quite difficult to imitate this complex 3d structure using materials similar to native vessels such as hydrogels though a few techniques have been explored to fabricate this complex 3d structure direct bioprinting of such a complex 3d structure on a solid platform in a single step has not been realized

natural vascular tissues serve as a unique experimental tool for investigating fundamental mechanisms of vascular function and maturation process under 3d flow conditions the methods have great potential in vascularized tissue fabrication as the vascular channel is simultaneously created while cells and matrix are printed around the channel in desired 3d patterns"
393,1.0,0.1505,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation",the layered fabrication approach induces directional anisotropy and impacts mechanical strength of fdm components significantly this paper proposes generalized machine learning based parameter optimization framework to determine optimal build orientation for fdm components the algorithm determines ideal build orientation by maximizing the minimum factor of safety (fos) for the component under prescribed loading conditions ensuring its even distribution an artificial neural network (ann) coupled with bayesian algorithm has been employed to accelerate the optimization process the algorithm begins with an initial sample data collected using brute force approach; uses single layered ann for approximation and optimization is achieved using bayesian algorithm a series of computational experiments considering five different test components has been devised to evaluate the performance and efficacy of the proposed algorithm these experiments demonstrated that the proposed algorithm can determine the optimum building orientation effectively with certain limitations
394,2.0,0.152,"energy, water, cost, demand, solar, consumption, system, renewable, reduce, electricity",common energy system models that integrate hydrogen transport in pipelines typically simplify fluid flow models and reduce the network size in order to achieve solutions quickly this contribution analyzes two different types of pipeline network topologies (namely star and tree networks) and two different fluid flow models (linear and nonlinear) for a given hydrogen capacity scenario of electrical reconversion in germany to analyze the impact of these simplifications for each network topology robust demand and supply scenarios are generated the results show that a simplified topology as well as the consideration of detailed fluid flow could heavily influence the total pipeline investment costs for the given capacity scenario an overall cost reduction of the pipeline costs of 37% is observed for the star network with linear cost compared to the tree network with nonlinear fluid flow the impact of these improvements regarding the total electricity reconversion costs has led to a cost reduction of 14% which is fairly small therefore the integration of nonlinearities into energy system optimization models is not recommended due to their high computational burden however the applied method for generating robust demand and supply scenarios improved the credibility and robustness of the network topology while the simplified fluid flow consideration can lead to infeasibilities thus we suggest the utilization of the nonlinear model for post-processing to prove the feasibility of the results and strengthen their credibility while retaining the computational performance of linear modeling
395,1.0,0.1693,"propose, power, paper, performance, optimization, approach, order, improve, algorithm, generation","the efficacy of genetic algorithms in the design of models that model specific and experimental aspects
of action potentials in a wide variety of organisms is proven a specific example of a plant action
potential is used to illustrate the use of genetic algorithms in the search for parameters of models the
efficiency of the genetic algorithms as a search method is in the short generation span of the
convergence of the algorithm"
396,9.0,0.1238,"system, control, field, sensor, current, application, dynamic, drive, describe, function",this paper describes two robotic solutions wav and cmmworm that illustrate a distributed and a centralized motion control and mechanism both approaches are shown to be equivalent but nature is inherently of a fault tolerant distributed nature while man made designs are centralized for ease of manufacturing they are also inherently fault tolerant in the need for the replacement of only one control and propulsion mechanism
397,9.0,0.5094,"system, control, field, sensor, current, application, dynamic, drive, describe, function","maxwell's equations describe the relation of charge and electric force almost perfectly even though electrons and permanent charge were not in his equations as he wrote them for maxwell all charge depended on the electric field charge was induced and polarization was described by a single dielectric constant electrons permanent charge and polarization are important when matter is involved polarization of matter cannot be described by a single dielectric constant  _(r  )with reasonable realism today when applications involve 10^(-10)   sec only vacuum is well described by a single dielectric constant _(0 ) 
here maxwell's equations are rewritten to include permanent charge and any type of polarization rewriting is in one sense petty and in another sense profound in either case presumptuous either petty or profound rewriting confirms the legitimacy of electrodynamics that includes permanent charge and realistic polarization one cannot be sure ahead of time that a theory of electrodynamics without electrons or (permanent field independent) charge (like maxwell's equations as he wrote them) would be legitimate or not after all a theory cannot calculate the fields produced by charges (for example electrons) that are not in the theory at all
after updating
	maxwell's equations seem universal and exact
	polarization must be described explicitly to use maxwell's equations in applications
	 conservation of total current (including _0  et) becomes exact independent of matter allowing precise definition of electromotive force emf in circuits
	kirchhoff's current law becomes as exact as maxwell's equations themselves
	classical chemical kinetics is seen to need revision to conserve current"
398,9.0,0.2545,"system, control, field, sensor, current, application, dynamic, drive, describe, function","the name pnp was introduced by eisenberg and chen because it has important physical meaning beyond being the first letters of poisson-nernst-planck pnp also means positive-negative-positive the signs of majority current carriers in different regions of a pnp bipolar transistor pnp transistors are two diodes in series pn + np that rectify by changing the shape of the electric field transistors can function as quite different types of nonlinear devices by changing the shape of the electric field those realities motivated eisenberg and chen to introduce the name pnp
the pun “pnp = poisson-nernst-planck = positive-negative-positive” has physical content it suggests that poisson-nernst-planck systems like open ionic channels should not be assumed to have constant electric fields the electric field should be studied and computed because its change of shape is likely to be important in the function of biological systems as it is in semiconductor systems"
399,12.0,0.1216,"fuel, temperature, engine, increase, result, gas, emission, condition, study, high",implementing control logic in dynamic modeling of gas turbines is one of the important and effective methods in analyzing the performance of igt25 gas turbine; because in dynamic modeling various results would be achieved through different control philosophies to do so using behavioral analysis of the performance of igt25 gas turbine under different ambient conditions and different fuel compositions appropriate control logic could be extracted in the paper method of extraction and entering the control logic in modeling dynamic condition of igt25 gas turbine coupled with a 25mw consumer has been studied under different ambient conditions such as various ambient temperature and pressure relative humidity and fuel compositions primarily various scenarios existing in relation to gas turbine control have been studied; then studying the dynamic behavior of igt25 gas turbine under the aforementioned condition considered control logic has been reviewed data obtained are at the nominal load and the condition in which the turbine’s temperature controller has been set to higher temperatures so that the maximum output load is achieved for the consumer
400,8.0,0.3166,"surface, show, study, process, concentration, form, high, low, sample, ion",in this study we synthesized activated carbon (ac) sourced from peanut shell an agricultural waste for the adsorption of methyl blue from its aqueous solution ac was produced via chemical activation method and was characterized using various tools like xrd fesem and raman spectroscopy adsorption experiments were carried in different batches with varying initial concentration adsorbent dose contact time ph and temperature the optimized parameters for adsorption were found to be that of initial dye concentration of 150 mg/l adsorbent dose of 120 mg/l temperature equals to 50c contact time of 50 minutes and ph equals to 8 adsorption data were used to figure out isotherm models kinetics as well as thermodynamics of the process it was concluded that maximum adsorption capacity is coming to be 71428 mg/g and the adsorption is favoring the tempkin isotherm model also it was observed that the process is endothermic and spontaneous in nature
401,5.0,0.3201,"flow, simulation, parameter, numerical, pressure, rate, method, particle, equation, force",in the paper the effect of gas generator turbine blades’ geometrical change has been studied on the overall performance of a twin-shaft 25mw gas turbine with industrial application under dynamic conditions geometrical changes include change of thickness and height of gas generator turbine blades which in turn would result in the change in the mass flow rate of passing hot gas as well as isentropic efficiency in each stage of the turbine gas turbine modeling in the paper is zero-dimensional and takes place with consideration of dynamic effects of volume on air compressor components combustion chamber gas generator turbine power turbine fuel system as well as effects of heat transfer dynamics between blades gas path and effects of operators on inlet guide vanes fuel valves and air compressor discharge valve in the mathematical model of each of the components steady-state characteristics curves have been used extracted from 3-dimensional computational fluid dynamics (cfd) to do so characteristic curves of the first and second stages of the four-stage turbine have been updated through 3-d fluid dynamic analysis so that the effect of geometrical changes in turbine blades would be applied results from effects of these changes on characteristics of transient gas flow including output power of gas generator turbine and power turbine inlet and outlet temperatures of turbine stages as well as air and fuel mass flow rates have been provided from the start-ups until reaching the nominal load would be achieved
402,6.0,0.1252,"method, image, datum, base, detection, level, pattern, specific, human, require",this paper is on a quantum architecture using the display computing paradigm for a quantum gpu design it builds on my previous work on quantum reconfigurable computing the design builds on a generalized 10 qubit architecture that can be reconfigured to provide display stream and input stream transformation using quantum computing
403,6.0,0.1606,"method, image, datum, base, detection, level, pattern, specific, human, require",display computing is a new paradigm of gpu computing where each image is computed from the previous images using generalized transformation theory this is applied to monocular video for procedural and emergent ai to create an autopilot for drones and robots a microphone with the same ai applied to audio infrasonic streams can supplement the autopilot system this paper describes the mathematical models and algorithm
